Customer_ID,Age,Annual_Income,Policy_Count,Total_Premium_Paid,Claim_Frequency,Policy_Upgrades
a6c346df,56,85400.91,1,14141.4,3,0
22e35da4,69,78415.47,1,6220.44,8,2
6ca03525,46,96162.42,1,16473.04,4,1
969abc3d,32,101221.9,3,1865.68,6,4
a694af69,60,29330.85,1,15928.06,2,0
d8315aa9,25,108740.24,4,12236.1,2,1
aa9b86ff,78,51451.12,1,11673.38,2,0
f0e5b219,38,112813.84,5,9438.35,7,3
f8418dae,56,126929.52,2,5902.39,5,3
2a2868f6,75,124514.61,5,9549.37,8,1
ff6508a5,36,91825.13,3,9275.56,8,2
0a460e7f,40,87622.09,1,11883.21,7,4
fd9e8420,28,38573.87,1,5990.7,0,3
fdbcbe62,28,120795.0,4,2013.11,5,2
cd796a59,41,55283.22,1,3329.24,3,4
890a29c5,70,84570.4,5,14133.96,3,3
ebed9792,53,56955.63,3,938.6,2,4
e6593b0c,57,37397.69,2,17200.64,8,0
fd936b99,41,101842.5,1,14040.75,1,1
66054be6,20,27063.16,2,15477.69,0,3
3dce3c92,39,117323.88,1,16801.7,9,3
64ad349a,70,61286.28,3,2892.85,2,0
b890d0e2,19,20017.51,5,16537.8,3,3
7132eef3,41,86446.79,3,10340.53,3,3
446b042f,61,26090.75,2,17767.71,5,3
e73901d2,47,55902.04,1,17788.44,0,3
94c36ff0,55,111906.94,2,971.47,0,3
795ceb7b,19,28149.65,5,7965.87,1,2
c001e13d,77,129114.0,3,10764.78,3,3
786941ed,38,20496.59,2,13728.02,6,0
8d654370,50,52087.1,2,6080.63,5,3
e81b1957,29,116317.53,5,5416.77,8,4
96c203a5,75,61115.12,1,7934.68,6,4
e0dccc39,39,33246.01,2,10268.3,4,0
69dedfb0,78,66830.41,5,19047.35,5,2
de050ae2,61,55151.13,1,15361.12,9,0
0d0d04be,42,129552.55,1,8871.76,8,2
16d97eb6,66,60735.23,3,1560.14,0,1
8fd58521,44,122561.22,5,3786.15,8,4
9dfda659,76,135943.38,1,9390.53,5,4
1ea96b20,59,76396.26,3,16369.61,3,4
5269a526,45,138292.61,4,7923.56,4,2
17fa5dd8,77,69051.35,5,11000.68,0,0
ad8cfc55,33,145330.19,4,17890.2,6,2
24d984fa,32,31607.64,1,18319.03,7,4
06954d33,79,109312.5,5,4707.61,4,4
e1aafce1,79,84195.83,3,1350.1,1,4
f8b10649,64,70394.34,1,6455.51,7,4
54a7ff4d,79,102252.54,5,14068.15,9,1
d811114c,68,111501.42,5,19046.69,6,4
b70a18c9,61,20567.23,4,2002.12,9,2
3170cc66,72,41703.9,1,1055.43,8,4
a7485f70,69,112695.99,3,17740.87,3,3
fd8be86f,74,106630.1,3,15088.83,8,1
113c3c4b,20,145586.18,1,19848.85,3,4
22fc8a37,54,118934.91,1,8237.46,2,3
a83726b3,68,143600.45,2,8612.99,2,2
615a1a8c,24,111330.27,4,3860.08,9,1
a96f6994,38,58746.79,1,2759.02,1,4
8254b364,26,33697.44,1,11785.0,9,2
011bef07,56,121637.1,2,7603.56,2,3
2431db37,35,103739.4,2,2066.17,7,1
bb14445b,21,26264.18,5,17796.25,7,4
496c5092,42,66806.56,3,4367.95,1,2
7407b375,77,144383.98,4,15097.39,1,1
5a74eac6,31,85052.15,5,6003.46,1,3
41b790a7,67,76254.79,1,16351.64,9,4
0f648c95,75,79500.95,2,2808.74,6,1
cbcfc61f,26,47154.75,3,15243.4,5,3
70657145,43,67931.93,5,2413.32,0,3
13486d93,70,68075.72,3,9214.86,1,2
9b3da1a2,19,26806.15,2,14813.08,0,3
2521564f,37,119783.79,5,3877.76,6,3
9bb76cd0,45,74145.58,5,6070.47,5,0
5952fe31,64,126883.39,3,17362.96,1,3
279522d0,77,130545.24,2,17759.83,1,4
4d267ea3,24,47559.23,1,1376.24,1,1
5871d3c4,61,105455.95,5,3777.77,7,4
019a6362,78,81396.63,1,2790.7,6,4
4819c906,25,134420.38,2,4004.02,0,2
7cc55c71,64,48046.29,5,19418.66,3,0
5699727a,52,108115.72,5,11257.28,3,0
617a1b95,31,99007.78,1,9628.19,6,4
acff062c,34,58389.19,4,19697.11,1,1
8235ceaa,53,37758.12,1,11360.64,3,0
e310106f,67,104713.17,1,13391.8,0,0
76b3bfa0,57,116017.67,4,6989.03,3,4
c5ac3bf8,21,61031.55,2,7951.24,0,0
a37a6048,19,103828.24,2,12090.98,1,2
7a2a8bba,79,71367.02,5,1860.82,1,4
97a97986,23,112716.89,3,5489.72,9,0
b2dfbc81,71,45897.99,3,4337.83,2,0
e24eb9dc,59,135727.95,5,809.92,7,0
9545e111,21,57363.25,3,10969.57,5,4
aeec69b8,71,67812.18,1,11440.53,5,1
900de03f,46,27551.95,1,7986.81,8,3
df263ac2,35,34496.59,4,5740.19,7,0
f8e86a94,43,87062.05,4,13215.17,1,3
98f964b8,61,54787.05,5,3125.85,5,3
3ae51187,51,128612.43,5,10612.99,0,0
af8d23c9,27,21910.14,5,15477.44,8,0
5460e4b5,79,69282.23,1,3703.81,3,3
5b2f8e9b,53,63854.92,3,15188.56,3,1
6a4eaab1,31,22512.59,5,15335.49,8,3
b0021347,48,36167.89,5,1668.57,2,1
8a868a79,65,73773.55,1,866.29,4,2
5ea10c8e,32,84072.4,1,19491.74,0,1
6c2be1b0,25,72557.67,1,4270.96,5,4
a0e2019f,31,89021.9,3,16531.71,2,0
c7f24998,40,97367.12,5,11456.09,0,2
681671ff,77,21290.1,2,5657.21,9,3
8a50e2f7,74,80332.37,2,3034.42,5,1
31fd3cb0,79,145254.9,5,10185.21,9,2
6ff7a02a,57,87474.2,5,8443.42,1,4
d821ca68,38,108080.49,5,14128.28,7,1
fe0a0d05,33,60542.3,5,18131.29,1,3
f17ee6c7,62,120618.88,3,16202.34,3,3
b6bc199d,35,120479.79,2,5851.81,2,1
ffd16183,64,87768.49,4,17639.2,8,4
964fce1f,70,146881.8,2,16751.13,1,0
cc0e7308,41,36321.53,2,18618.16,2,0
26ed8ed2,43,22203.2,1,9443.89,6,3
99d7a0a3,42,120120.57,5,15487.22,3,4
ea26599e,77,124930.22,5,12037.33,5,3
3599cf5d,77,35626.94,5,6554.8,2,0
e3483b63,77,54525.77,1,19891.4,0,3
a88f4be2,62,22281.81,3,1247.0,5,1
542094de,58,58130.12,3,3664.32,3,1
8d3a5cf4,46,120508.44,4,17904.58,1,4
ac753716,32,87334.87,3,1680.98,6,0
d6573ad2,62,65252.43,3,17793.0,9,4
63cb2ec9,18,68326.11,5,14446.82,4,4
35f133a9,42,20175.97,2,1215.34,5,0
00e74a28,24,58974.07,3,8871.74,5,2
002ae793,26,104039.64,3,15212.19,8,2
003f603c,41,146645.28,1,11870.46,1,3
f2f1a588,18,130117.91,4,18749.49,5,2
331dbe5f,61,23067.35,1,17419.06,8,1
3e2a2c10,25,136812.88,5,6986.63,3,4
5c73f292,41,121815.79,2,2150.23,5,3
4cd4800f,28,121448.9,4,18913.01,6,4
f302282d,68,79539.45,1,10587.09,0,0
e0002557,34,71740.69,3,1950.75,4,2
59543112,25,59379.04,3,16423.22,3,0
d9c5df09,52,28540.33,4,17435.88,9,3
5bdc2ae5,52,49670.6,3,12968.78,1,1
68ef52a7,50,52058.47,1,9226.42,1,2
4c9ee46c,76,82930.02,1,13412.37,1,0
e9d53df8,22,117167.77,3,14280.33,6,2
8415d0bf,59,81595.28,3,17914.08,3,4
d9f3063f,56,27519.78,5,19139.3,5,1
b72eb073,75,144512.67,2,10529.26,6,2
3774173d,58,142554.16,4,16070.64,8,1
e9485fc8,45,122074.64,1,19307.94,1,4
2002b8c5,24,148872.63,4,3449.25,9,4
5d7c5e1e,26,90782.7,5,856.23,8,0
ae35cec5,25,145159.89,1,17444.79,4,3
2c6e44c6,29,29828.66,5,4307.83,5,0
12c9982c,51,67538.5,5,1328.34,5,1
34d865d7,50,49299.56,3,3621.87,2,0
ea0b84af,65,45458.3,4,7990.24,9,2
037131b4,72,38304.38,4,4775.68,6,0
3c6c3a86,40,100913.77,3,6452.45,6,3
fe0b4db5,79,121571.84,4,19518.23,7,3
5f4fd9d0,41,95178.79,3,14235.91,4,1
1cdbdff2,54,39105.15,1,14387.74,1,4
a8e5b391,52,125446.09,5,2346.36,2,3
d66fb719,61,102674.11,5,14775.92,8,1
d5c58b95,57,70461.54,4,14917.21,5,3
5ac81ad5,39,107636.94,2,13365.03,7,3
a1de0fcb,44,53787.65,5,4954.51,7,4
10b662a8,52,64874.99,3,8749.21,4,2
d6b87dd6,18,139273.16,2,17002.39,0,1
04f3e2d4,52,57765.59,2,13568.93,5,3
edba055f,54,81098.47,5,14788.99,6,3
1b471184,64,135718.35,5,11953.8,8,0
793df940,31,112003.78,5,9266.94,1,2
2568accb,20,28086.42,3,15301.51,1,4
45a27a01,18,39149.4,2,1824.55,9,1
d1faf88d,22,21019.41,4,13626.63,0,3
f09043fc,43,102019.83,3,19945.49,4,1
6d144f57,72,78197.55,1,15713.74,1,4
50ac5980,31,37455.73,5,6165.99,2,2
5fbcfbac,56,144531.44,2,5917.48,1,0
ac7652b6,44,88855.76,3,13510.76,3,2
354a9199,26,51446.13,1,17969.16,2,0
42b42f88,32,85078.46,3,11770.02,8,1
