Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Vehicle_Property_Age,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Risk_Score
64e762f7-0c19-4c90-8ee8-e1e0545de620,56,Female,Health,105253.52,23,0,0,1924.62,29713.11,Medium
9c428b2e-6a23-4916-86a1-50bb0b5bd951,69,Male,Health,84613.07,19,7,0,1807.19,46391.41,Low
baa33f60-7dae-4cc5-82d2-e04771ce5846,46,Female,Health,24168.26,15,4,0,2707.11,19749.75,High
aa76a0c9-1be9-4f07-a834-1fa08470a208,32,Female,Life,99600.47,29,4,0,1341.95,5182.0,Low
11fb431b-f27c-4d48-bf7b-adf15b93c2d1,60,Male,Health,113102.6,19,5,0,2606.54,16358.73,Low
31d972f8-1f39-49c2-a58e-3d3ea259bbb2,25,Female,Property,74177.38,29,6,0,3942.61,20818.49,Low
e9fdc2ce-c1f0-4fd8-a574-e2b6367d498b,78,Male,Health,118448.42,17,6,0,4304.28,13720.9,Medium
89eabc02-73e3-4e29-928f-cafc84f6d65d,38,Female,Health,49510.17,3,4,0,2233.23,26495.72,Low
9f6fcafa-c165-4d0d-9d6b-e91bea7efb64,56,Female,Property,48765.96,15,0,0,3277.86,15312.41,High
7fcd3c66-8838-4d13-8346-09e7d3cd7038,75,Female,Property,40984.21,3,8,0,500.09,5248.66,Medium
b7c81207-54be-4bbf-829c-f625a132c862,36,Female,Auto,68359.32,5,5,0,2976.59,9484.62,Low
0abec7a6-798b-401e-8695-31bc47f7dd24,40,Female,Health,130111.56,2,8,0,4888.56,45915.99,Medium
69ab854c-28c8-4c66-9b3c-911407c41b71,28,Male,Life,127628.57,17,3,1,1905.19,31516.82,Medium
9b29ee80-2b32-429a-a48b-84e244ff4537,28,Female,Health,69767.15,14,1,0,3176.49,15784.0,Low
0a9bc9c4-0514-4956-97eb-5311957564ae,41,Male,Health,96585.44,7,2,0,3930.28,18409.2,Low
04d8ece6-867f-45d9-96b6-15152fd15386,70,Female,Property,113706.12,17,3,0,3240.2,24719.82,Medium
06136f17-98a2-4a30-9e2c-a9ebfed22181,53,Male,Auto,51356.88,23,9,0,2383.25,33689.19,Low
666043f1-8dfe-4906-a413-822803820f13,57,Male,Health,41858.34,22,7,0,1186.59,29150.78,Medium
9c441a7a-08ff-4594-8658-6770be80b214,41,Female,Life,146372.48,2,2,0,2586.66,46641.64,Low
142ccb42-cae0-4a57-912d-c863bb25445b,20,Male,Health,100282.45,5,7,0,1826.53,31324.87,Low
dd481786-1523-4b37-8d33-46b4fe252a3f,39,Female,Life,147584.04,21,5,0,3631.64,45548.52,Low
6da8439c-106e-458b-8fb8-faae1f8c6bec,70,Male,Property,63908.28,25,3,0,2488.61,370.96,Medium
04f2eb3a-54cc-407c-8b76-50d7af903599,19,Male,Auto,111394.12,29,6,0,4324.46,44538.92,Low
effa72ad-1f55-4c17-bcc2-6584f4099015,41,Female,Health,48938.47,20,4,0,1369.95,36100.78,Low
ca2da26a-d2b1-48c1-9b68-82e38e052db0,61,Male,Auto,53956.02,28,4,0,2379.74,8692.45,Low
fe5edfb9-1150-4870-97e9-d6b7e7103124,47,Male,Health,86547.28,23,8,0,3008.77,13225.6,Medium
47a5d74e-94a8-453b-8d05-d6d1791a01a9,55,Female,Life,61550.36,14,2,0,1067.07,27186.22,Low
57b610e9-06e3-4fdb-8b9f-454bb486359c,19,Male,Auto,41790.8,26,9,0,3145.6,6334.41,Low
51576242-632f-49cc-b098-081a85d7de13,77,Female,Health,54174.49,11,3,0,1809.15,39289.88,Low
7c2ab9d4-5c0f-405f-89f8-cb6fe72c77ef,38,Male,Property,24647.29,4,4,0,1532.92,39579.58,Medium
222bd35c-f708-453a-97e2-df7cb0343cd8,50,Male,Life,111575.07,6,0,0,1138.6,15117.35,High
b7b87915-1623-41eb-b4ad-79ee68e247d5,29,Female,Auto,83975.17,21,6,0,2074.47,3583.87,Medium
885114e4-86a7-4d0a-b617-649891105727,75,Male,Health,32251.6,26,7,1,4680.42,49443.49,Low
fef675dc-c5df-4d95-aae2-579e12a96313,39,Male,Auto,42320.22,14,5,0,639.53,12611.37,Low
489b44b4-252c-45c5-b44e-df24667ac811,78,Male,Health,33329.49,6,8,0,4334.7,3471.18,Low
09783262-f89b-4c1b-b13c-f62e3ddfb4d2,61,Male,Life,99637.07,12,2,0,2288.12,16565.25,Low
730bae1a-24e4-4376-a98e-ec5265f95cb4,42,Female,Property,32247.35,24,1,1,3027.21,48453.26,Low
8000d277-2b44-4773-afae-8274cd8786fb,66,Male,Life,118056.7,2,4,0,2807.66,39667.09,Low
fe12ed41-a229-4840-9509-bab2362eaecb,44,Female,Auto,22666.42,25,8,0,4665.83,24068.62,Low
f6c91b79-5227-498e-acef-1edcd5810ffa,76,Female,Auto,52418.85,22,0,0,3965.58,15335.99,Low
4b194387-0ebb-41d9-bff4-33b5b50241ef,59,Male,Health,135786.67,12,0,0,4931.71,21222.97,Low
179a3808-5b2b-485c-bac0-378de3aef848,45,Female,Life,113409.07,25,9,0,4074.93,966.54,Low
51154dc9-2b70-4d34-8e39-0c977facfd8c,77,Male,Health,29485.88,2,2,0,1831.5,35946.69,Low
59abe90c-f275-4c29-b1f2-175f6b09448b,33,Other,Life,126746.39,28,9,0,4832.98,5072.25,Low
8f46dc5b-bda4-48e7-b665-2276645d8747,32,Male,Auto,84094.57,1,2,0,4926.05,25999.98,Low
08589fb1-368a-405b-96a0-3b23904122d3,79,Female,Health,130081.79,27,4,0,1053.92,28335.67,Low
523948b7-ecfb-4b41-8f1d-04e564b9ff86,79,Female,Health,98096.17,22,3,0,4554.7,184.32,Low
d872e190-f7d4-4054-b47a-e8bb55420337,64,Male,Life,108638.29,3,5,0,3488.91,48995.94,Low
8418b53c-e1b9-4d74-99d3-691861910ecb,79,Female,Property,149155.2,16,7,0,4648.97,15176.74,Low
83e04833-fbfb-4b0a-aad3-b34326dcea30,68,Female,Life,50203.62,5,7,0,4620.83,3953.49,Low
0f58d985-7477-44c9-9653-4be2cfd9b3a4,61,Male,Property,101112.92,10,3,0,4511.18,42733.99,Medium
65788341-2d28-4dc6-91e8-309339cfd8a8,72,Male,Life,79841.78,5,0,0,4483.74,7682.43,High
37f18114-5186-461e-8a87-2eb43f732f79,69,Female,Auto,25128.75,21,6,0,1029.41,1345.26,High
ab2f3362-802b-46e1-9b2e-dd488fba06de,74,Female,Health,21881.18,1,5,0,1145.82,24785.06,Low
15d4dfa5-8c37-4d21-b7a1-66cb1f9882e8,20,Other,Life,35499.72,16,4,1,1030.01,6582.86,Low
e33d706a-6eb3-4520-bc65-5a6abc2f86d7,54,Female,Auto,104381.93,2,3,0,909.63,49122.91,Low
a23b57c2-9436-475c-b96e-7bd78f8e7ea0,68,Female,Life,93731.2,11,5,0,2089.78,619.51,High
27e48307-49a0-4ea5-bc4f-9bd41d333e52,24,Female,Health,91945.84,13,7,0,3577.81,2654.75,Medium
fede15e9-df4e-4a69-8c6b-72f51b08fcb5,38,Male,Life,24141.38,1,5,1,2096.12,41680.87,Medium
075c9e0c-6e39-4fe6-936c-24590f5a2238,26,Male,Property,81009.39,21,2,0,3741.35,12063.61,Low
2dc6ced1-8e5f-4468-9e39-9ba0f8f41a0f,56,Female,Health,140200.97,28,8,1,4191.27,45588.68,Low
87a946a2-fea8-4d69-a47c-6ba81bb8ec29,35,Female,Property,71686.94,27,2,0,3497.97,15625.74,Low
6e6d3ca4-ab12-4758-bb38-f8e5e3c267ea,21,Male,Auto,101239.92,21,3,0,2592.97,3582.15,High
912683f8-6104-4060-885f-4fe67c5e4640,42,Male,Auto,121376.43,28,4,0,1829.83,628.53,Low
cdb0c708-5859-49e3-90d3-4b6bb43493ee,77,Female,Life,121910.29,4,1,0,1059.82,14200.11,Medium
4ed196fc-6e2d-4454-b8ca-c934cff4d688,31,Female,Property,87506.41,9,9,0,2721.43,23739.16,Low
bf735438-9a9c-454c-8636-63526492b345,67,Male,Property,131533.75,9,9,0,3738.2,150.7,Medium
08c8f33b-0717-464b-b25c-6d9ef2c52284,75,Male,Health,70879.15,20,1,0,2967.09,29097.25,Low
939c8570-7600-4f11-abae-d401319cc796,26,Male,Property,135530.12,8,5,1,3746.67,16749.71,Medium
023e2e6f-1282-4cbd-9b12-84cb2a48e02b,43,Male,Property,51229.53,29,1,0,2008.49,19568.66,Low
3c6c351a-b744-4c45-b628-bc9a3e0df5eb,70,Male,Health,56428.13,20,9,1,800.58,13144.41,Medium
3a1d3cf8-efe9-45ed-9250-912a70bb6ae1,19,Male,Health,26905.68,12,0,0,3969.94,26499.36,Low
c8b8f7b5-eb3a-4eae-9f24-47aaa6a0f765,37,Female,Property,123425.64,9,7,0,1488.76,11583.12,High
5579e8b4-d985-45b4-a2c7-b8bef36c1167,45,Male,Life,74217.18,5,9,0,3273.28,6827.62,Medium
208833e7-707f-4203-a8ef-584990a9ceb4,64,Female,Health,49785.16,10,9,0,4119.32,44543.29,Low
969dd1ac-4ab3-4491-94f3-bed5c8c6df0f,77,Female,Health,50132.74,3,0,0,1126.0,19588.69,Medium
40f354c7-c945-4201-8338-785ba4d1a08b,24,Male,Property,137181.99,25,9,0,3193.23,3938.82,Low
9cbacaf0-6c31-40fb-9797-dcbb11c84db3,61,Female,Property,128409.16,13,5,0,3602.18,11593.11,Low
01417090-1aca-46ba-8428-87f1a83742fa,78,Male,Health,91959.02,29,0,0,3859.39,15566.15,Medium
d0d20a18-ea44-4b56-9bb2-3ba5686a2afd,25,Female,Property,100094.4,16,7,0,1164.5,38505.35,Medium
4fc5a0bd-91d1-41d4-af47-ae979a109dac,64,Male,Health,81662.32,19,4,0,4213.02,1210.55,Medium
7dcf695a-2324-4370-98dc-957ded9edf47,52,Female,Life,70916.65,1,2,0,923.67,23964.65,Medium
5a4ce675-d1f0-42c9-a20b-f84fc25a474f,31,Female,Life,139011.99,9,4,1,2838.13,20443.86,Medium
62a86de1-fd18-4eed-9ab5-fca3da77d5b4,34,Male,Health,36329.65,2,0,0,2495.36,48423.18,High
01cef613-cb5a-4d8d-896b-d27ff9e5d1f9,53,Male,Health,74398.08,6,0,1,1497.95,9085.74,Low
6df27688-451d-4ec6-bbb5-70f5b71960eb,67,Female,Auto,64793.05,6,3,0,1858.69,31430.75,Medium
3c414e6a-34cf-4672-a739-a5ce6d7f5b42,57,Female,Auto,84759.59,0,8,0,1239.96,10189.62,High
0082c0a0-c3a4-4211-b94f-e979e882fdb5,21,Male,Property,79492.14,7,8,0,2415.77,27466.26,Low
238f10a4-5030-42e5-9f90-3b31d445d272,19,Female,Property,87455.64,22,0,0,659.8,27797.66,Low
c30ec921-f5b7-4b5d-a012-da67e6150884,79,Male,Health,38189.47,0,2,0,4500.12,3859.8,Medium
41ad4756-ec2f-4e7c-a9f4-695739dc8920,23,Female,Health,86708.4,7,3,0,1235.69,22876.92,High
0be52a35-dafc-46f5-a6bd-0c6ea3119f7f,71,Male,Auto,51514.45,13,1,0,4487.08,23111.69,Medium
3afa9cfe-c5b6-4d78-a480-b8e1334c44f7,59,Female,Auto,43963.08,13,6,1,4386.1,16024.92,Low
e2373209-0ae9-47a0-bf2d-c22d4c6d701e,21,Male,Health,28428.45,1,2,0,2532.55,13930.21,Low
719939e9-285e-4913-bbd5-f33fd5a57951,71,Male,Life,119144.83,7,0,0,2739.77,11292.47,Low
e077e4bd-3477-495b-b41f-a4ac8edbd870,46,Male,Life,75567.45,18,0,0,1858.61,396.46,Low
975ebe76-000c-4c44-bb23-28a9ee06ea31,35,Male,Property,101463.68,9,2,0,4985.94,190.63,Low
